states,x,y
Maharashtra,-181,-85
Kelala,-142,-295
Tamil Nadu,-96,-283
Karnataka,-153,-206
Andhra Pradesh,-78,-187
Goa,-196,-184
Chhattisgarh,5,-22
Orrisa,41,-65
West Bengal,129,3
Bihar,80,76
Utter Pradesh,-14,93
Jharkhand,56,27
Madhya Pradesh,-68,14
Gujarat,-258,10
Rajasthan,-220,97
Sikkim,141,120
Assam,244,96
Meghalaya,192,68
Tripura,216,24
Mizoram,248,12
Manipur,264,49
Nagaland,286,90
Arunachal Pradesh,287,155
Delhi,-123,153
Haryana,-146,167
Punjab,-170,209
Himachal Pradesh,-114,239
Uttaranchal,-75,193
Jammu Kashmir,-129,308
Telangana,-79,-97
